ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Seanna Sifflet, LAc, MSW; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639
Tranquil Therapies; Massage Therapy; 0; 0; East Village, Greenwich Village; 206 Ave B, Manhattan, NY 10009; (201) 268-3162
Stephen Clark, MD; Family Practice, Internal Medicine; 0; 0; Meatpacking District, West Village; 408 W 14th Street, New York, NY 10014; (212) 530-0639
East Village Podiatry; Podiatrists; 0; 0; East Village, Alphabet City; 645 East 11th St, New York, NY 10009; (929) 445-4483
Rhona Engels, LCSW, ACSW; Counseling & Mental Health; 0; 0; Stuyvesant Town, Gramercy, East Village; 14th St & 1st Ave, New York, NY 10009; (212) 353-0911
New York Eye & Ear Infirmary - The Ear Institute; Hospitals, Optometrists, Ear Nose & Throat; 2.5 star rating; 51 reviews; Gramercy, East Village; 310 E 14th St, New York, NY 10003; (212) 979-4000
Gentile Ronald Dr; Doctors; 5.0 star rating; 9 reviews; Gramercy, East Village; 310 E 14th St, New York, NY 10003; (212) 979-4120
Cara Muhlhahn Midwifery; Midwives; 5.0 star rating; 2 reviews; East Village, Alphabet City; 646 E 11th St, New York, NY 10009; (212) 388-1837
New Herbal World; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 6 reviews; Stuyvesant Town, East Village, Alphabet City; 442 E 14th St, New York, NY 10009; (212) 254-5287
Glaucoma Associates of N Y; Doctors; 4.0 star rating; 2 reviews; Gramercy, East Village; 310 E 14th Street, New York, NY 10003; (212) 609-3830
Family Dental Center; General Dentistry; 2.0 star rating; 4 reviews; East Village, Alphabet City; 15 Avenue A, New York, NY 10009; (212) 677-2510
New York Eye & Ear Infirmary - Ophthalmology; Urgent Care, Ophthalmologists, Hospitals; 3.5 star rating; 3 reviews; East Village; 310 E 14th St, New York, NY 10009; (212) 979-4000
Bellair Laser Center; Medical Spas, Laser Hair Removal, Skin Care; 4.0 star rating; 30 reviews; Midtown East; 115 E 57th St, Manhattan, NY 10022; (877) 235-5247
MedRite Urgent Care; Urgent Care; 3.5 star rating; 69 reviews; Midtown East; 919 2nd Ave, New York, NY 10017; (212) 935-3333
Manhattan Spine and Sports Medicine; Physical Therapy, Sports Medicine, Orthopedists; 5.0 star rating; 26 reviews; Midtown East; 300 E 56th St, New York, NY 10022; (212) 935-1700
Runner Clinic NYC; Acupuncture, Physical Therapy, Pilates; 5.0 star rating; 8 reviews; Midtown East, Murray Hill; 124 E 40th, Manhattan, NY 10016; (917) 484-0887
Bliss Acupuncture Wellness; Acupuncture, Traditional Chinese Medicine, Chiropractors; 5.0 star rating; 13 reviews; Midtown East, Murray Hill; 800 2nd Ave, New York, NY 10017; (212) 370-7800
Dr Sneeze; Allergists; 5.0 star rating; 26 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 679-1200
Manhattan Sports & Manual Physical Therapy; Physical Therapy, Sports Medicine; 5.0 star rating; 35 reviews; Midtown East; 10E 33rd St, New York, NY 10016; (646) 487-2495
Walk in Clinic NY; Urgent Care, Medical Centers; 4.0 star rating; 14 reviews; Midtown East; 274 Madison Ave, New York, NY 10016; (212) 696-5900
Body Mechanics Orthopedic Massage; Massage, Massage Therapy, Acupuncture; 5.0 star rating; 79 reviews; Midtown East, Murray Hill; 315 Madison Ave, New York, NY 10017; (212) 600-4808
Russak Dermatology; Dermatologists; 4.5 star rating; 10 reviews; Midtown East; 115 E 57th St, Manhattan, NY 10022; (646) 873-7546
Center Medical; Doctors; 0; 0; Chinatown, Civic Center; 8 Chatham Sq, New York, NY 10038; (212) 227-3994
China Town Foot; null; 0; 0; Chinatown, Civic Center; 7 Chatham Sq, New York, NY 10038; (212) 513-7755
Gary Stadtmauer MD; Allergists; 4.0 star rating; 11 reviews; Financial District; 39 Broadway, New York, NY 10006; (212) 809-1186
One Medical Group; Internal Medicine, Urgent Care; 4.0 star rating; 28 reviews; Financial District; 30 Broad St, New York, NY 10004; (212) 530-0630
Saul Ackerman Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Financial District; 42 Broadway, New York, NY 10004; (212) 432-5228
Sacred Skincare; Medical Spas, Skin Care, Waxing; 5.0 star rating; 7 reviews; Financial District; 160 Broadway, New York, NY 10038; (929) 346-1907
Goldman Dermatology PLLC; Dermatologists; 3.5 star rating; 29 reviews; Financial District; 150 Broadway, New York, NY 10038; (212) 962-1115
Mark E Horowitz, MD; Family Practice; 2.0 star rating; 17 reviews; Financial District; 42 Broadway, New York, NY 10004; (212) 482-2400
Axon Health Associates; Physical Therapy, Chiropractors, Acupuncture; 5.0 star rating; 1 review; Financial District; 100 William St, New York, NY 10038; (212) 509-3333
Jenne Wax, MD; Internal Medicine, Family Practice; 5.0 star rating; 1 review; Financial District; 30 Broad Street, New York, NY 10004; (212) 530-0630
Network Chiropractic of New York; Chiropractors; 5.0 star rating; 1 review; Financial District; 40 Exchange Pl, New York, NY 10005; (917) 923-7121
Pacific College of Oriental Medicine; Acupuncture, Colleges & Universities, Massage Therapy; 3.5 star rating; 25 reviews; Financial District; 110 William St, New York, NY 10038; (212) 982-3456
Open Lines Speech and Communication; Speech Therapists, Tutoring Centers, Private Tutors; 4.5 star rating; 7 reviews; Chelsea, Midtown West; 352 7th Ave, New York, NY 10001; (212) 430-6800
Chelsea Health Center; Medical Centers; 3.5 star rating; 7 reviews; Chelsea; 303 9th Ave, Manhattan, NY 10001; 
Paige Bourassa Acupuncture NYC; Acupuncture; 5.0 star rating; 10 reviews; Chelsea; 289 7th Ave, New York, NY 10001; (917) 744-0417
Olo Acupuncture; Acupuncture, Traditional Chinese Medicine, Massage; 4.5 star rating; 90 reviews; Chelsea; 119 W 23rd St, New York, NY 10011; (212) 595-3432
Radiant Heart Acupuncture; Acupuncture; 5.0 star rating; 5 reviews; Chelsea; 242 W 27th St, New York, NY 10001; (646) 266-4019
Feldenkrais Institute of New York; Physical Therapy, Naturopathic/Holistic; 4.5 star rating; 7 reviews; Chelsea; 134 W 26th St, New York, NY 10001; (212) 727-1014
Shauna Cummins, CH, NGH; Hypnosis/Hypnotherapy; 5.0 star rating; 4 reviews; Chelsea, Midtown West; 135 W 29th St, New York, NY 10001; (715) 575-1980
Amanda Donis Therapeutic Massage; Massage Therapy; 5.0 star rating; 5 reviews; Chelsea; 250 W 26th St, New York, NY 10001; (917) 688-2435
Yanina Acupuncture; Acupuncture, Massage, Medical Spas; 5.0 star rating; 9 reviews; Chelsea, Midtown West; 300 E 56 St, New York, NY 10022; (646) 244-0597
New York Nutritionist, Carly Feigan; Nutritionists; 5.0 star rating; 2 reviews; Chelsea; 116 W 23rd St, New York, NY 10011; (212) 706-4298
The Yoga Wellness Space; Yoga, Counseling & Mental Health, Meditation Centers; 5.0 star rating; 3 reviews; Chinatown, Civic Center; New York, NY; (732) 907-9642
Manhattan Podiatry; Podiatrists; 4.0 star rating; 44 reviews; Chinatown; 254 Canal St, New York, NY 10013; (212) 925-8805
Dr.Darryl Wu DDS PC; General Dentistry; 2.5 star rating; 7 reviews; Little Italy, Chinatown; 41 Elizabeth St, New York, NY 10013; (212) 925-7757
Bayard Street Obstetrics & Gynecology; Obstetricians & Gynecologists; 4.5 star rating; 12 reviews; Chinatown; 68 Bayard St, New York, NY 10013; (212) 226-5530
Yaoshen Cai; Acupuncture; 5.0 star rating; 62 reviews; Little Italy, Chinatown; 118 Baxter St, New York, NY 10013; (646) 490-5033
Michael Biamonte, CCN; Doctors, Nutritionists; 3.0 star rating; 7 reviews; Chinatown, TriBeCa, Civic Center; 291 Broadway, New York, NY 10007; (212) 587-2330
Poon Tze On, MD, PC; Doctors; 4.5 star rating; 2 reviews; Chinatown; 139 Centre St, New York, NY 10013; (212) 274-1225
Fishion Herb Center; Massage, Acupuncture, Reflexology; 4.0 star rating; 144 reviews; Little Italy, Chinatown; 107 Mott St, New York, NY 10013; (212) 966-8771
Lin Sister Herb Shop; Acupuncture; 4.5 star rating; 44 reviews; Chinatown, Civic Center; 4 Bowery, New York, NY 10013; (212) 962-5417
Ashe Healing Arts; Reflexology; 0; 0; Harlem; 115 W 128th St, New York, NY 10037; (917) 972-7729
Paula Jorn, PsyD; Counseling & Mental Health; 0; 0; Chinatown, Civic Center; 310 E 44th St, New  York, NY 10016; (732) 822-0425
Timberly Leite, MA CCC-SLP; Speech Therapists; 0; 0; Harlem; 2236 Adam Clayton Powell Jr BLVD, New York, NY 10027; (646) 406-2765
The George & Eva Nell Barbee Family Health Center; Medical Centers; 2.0 star rating; 1 review; Harlem; 266 W 145th St, New York, NY 10039; (212) 690-4002
Harlem Dialysis Center; Dialysis Clinics; 0; 0; Harlem; 2615 Frederick Douglass Blvd, New York, NY 10030; (212) 283-2047
Avantus Harlem Green Dialysis; Dialysis Clinics; 0; 0; Harlem; 488 W 128th St, New York, NY 10027; (212) 866-0206
Saint Luke’s Medical Group; Family Practice, Medical Centers; 3.5 star rating; 3 reviews; Harlem; 2771 Frederick Douglass Blvd, New York, NY 10039; (212) 690-0303
Haque Muhammad MD; Doctors; 2.0 star rating; 3 reviews; Harlem; 3418 Broadway, New York, NY 10031; (212) 283-2099
Healthy Skin Medical Spa; Medical Spas, Skin Care; 5.0 star rating; 1 review; Harlem; 3671 Broadway, New York, NY 10031; (646) 508-8345
St Aloysius Education; null; 0; 0; Harlem; 219 W 132nd St, New York, NY 10027; (212) 234-6495
Ridgewood Dialysis Center; Dialysis Clinics; 0; 0; East Harlem; 1249 Fifth Ave, New York, NY 10029; (212) 360-3860
Mental Health Satellite; null; 0; 0; Harlem; 21 W 111th Street, New York, NY 10026; (212) 831-1777
Foot Clinic of New York; Chiropractors, Education, Podiatrists; 0; 0; East Harlem; 53 E 124th St, New York, NY 10035; (212) 410-8000
New York Podiatry; Podiatrists; 0; 0; East Harlem; 1800 Park Ave, New York, NY 10035; (212) 722-6771
City Dialysis Center; Dialysis Clinics; 0; 0; East Harlem; 105 E 106th Street, New York, NY 10029; (212) 348-6637
Mt Sinai Center for Advanced Medicine; Hospitals, Medical Centers; 3.0 star rating; 5 reviews; East Harlem; 17 E 102 St, New York, NY 10029; (212) 241-8947
Mount Sinai Executive Health Program; Cardiologists; 4.0 star rating; 1 review; East Harlem; 1190 5th Avenue, Room 117, Manhattan, NY 10029; (212) 241-8000
Second Avenue Dental Group; General Dentistry; 3.0 star rating; 8 reviews; East Harlem; 1976 2nd Ave Frnt, New York, NY 10029; (212) 996-6269
Ky Alex Jenny, MD; Doctors; 3.5 star rating; 2 reviews; East Harlem; 5 E 98th St, New York, NY 10029; (212) 241-3547
Joshua Zeichner, MD; Dermatologists; 2.5 star rating; 3 reviews; East Harlem; 5 E 98th St, New York, NY 10029; (212) 241-9728
East Harlem Dental Plaza; General Dentistry; 1.5 star rating; 10 reviews; East Harlem; 2060 Lexington Ave, New York, NY 10035; (212) 996-5996
Remede Naturopathics; Acupuncture, Naturopathic/Holistic; 5.0 star rating; 6 reviews; Greenwich Village; 214 Sullivan St, New York, NY 10012; (646) 485-5229
Leeber Cohen, MD; Medical Spas, Ophthalmologists; 5.0 star rating; 3 reviews; Greenwich Village; 11 5th Ave, New York, NY 10003; (212) 777-1644
Sarah Sajdak, MS, LAc; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 2 reviews; Greenwich Village; 80 E11th St, Manhattan, NY 10003; (917) 496-5481
Nancy Allen Acupuncture; Acupuncture; 5.0 star rating; 5 reviews; Greenwich Village; 80 E 11th St, New York, NY 10003; (917) 971-1034
Dr. David L. Brisman, DMD; Periodontists; 3.5 star rating; 11 reviews; Greenwich Village; 31 Washington Square West, New York, NY 10011; (212) 673-6900
Synergy Health Associates; Chiropractors, Nutritionists; 5.0 star rating; 3 reviews; Union Square, Greenwich Village; 80 5th Ave, Manhattan, NY 10011; (212) 243-5515
Center For Modern Psychoanalytic Studies; Counseling & Mental Health; 5.0 star rating; 1 review; Greenwich Village; 16 W 10th St, New York, NY 10011; (212) 228-6036
Susan Lambert, LCSW; Counseling & Mental Health; 3.5 star rating; 2 reviews; Greenwich Village; 80 E 11th St, Manhattan, NY 10003; (917) 858-9948
The Village Allergy Asthma & Immunology Centre; Allergists; 5.0 star rating; 2 reviews; Greenwich Village; 2 Fifth Ave, New York, NY 10011; (212) 473-7892
Downtown Primary Care; Doctors; 3.0 star rating; 19 reviews; Greenwich Village, NoHo; 726 Broadway, New York, NY 10003; (212) 992-9198
NYU Dental; Dentists; 1.5 star rating; 15 reviews; Kips Bay, Stuyvesant Town; 345 E24th St, New York, NY 10010; (212) 998-9514
Skin Made Simple; Skin Care, Dermatologists; 5.0 star rating; 4 reviews; Midtown East, Kips Bay; 222 E 31 St, Manhattan, NY 10016; (646) 509-0943
Bethany Medical Clinic of New York; Internal Medicine; 5.0 star rating; 5 reviews; Midtown East, Kips Bay; 222 E 31st St, New York, NY 10016; (646) 509-0943
Manhattan Orthopaedic & Sports Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Kips Bay; 480 Second Ave, Manhattan, NY 10016; (646) 801-2016
Carlos Valdes, DMD; Cosmetic Dentists, General Dentistry; 4.5 star rating; 5 reviews; Midtown East, Murray Hill, Kips Bay; 471 3rd Ave, Manhattan, NY 10016; (212) 929-0080
Pediatric Associates of NYC PC; Doctors; 3.5 star rating; 13 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 725-6300
Adam Resnikoff, DPM; Podiatrists; 2.5 star rating; 4 reviews; Midtown East, Murray Hill, Kips Bay; 481 3rd Ave, New York, NY 10016; (212) 679-3338
Martin J Schwartz, DDS; General Dentistry; 2.5 star rating; 6 reviews; Kips Bay; 200 E 24th St, New York, NY 10010; (212) 679-0808
Bruce Chung, MD; Family Practice; 4.0 star rating; 18 reviews; Midtown East, Murray Hill, Kips Bay; 160 E 32nd St, New York, NY 10016; (212) 545-1888
Enzo Clinic Labs; Medical Centers; 2.5 star rating; 9 reviews; Midtown East, Murray Hill, Kips Bay; 251 East 33rd Street, New York, NY 10016; (212) 213-4822
Top Balance Nutrition; Nutritionists, Weight Loss Centers; 5.0 star rating; 6 reviews; Koreatown, Midtown East; 347 Fifth Ave, New York, NY 10016; (212) 510-7651
Quein Herb And Acupuncture; Doctors, Acupuncture; 0; 0; Koreatown, Midtown West; 2 W 32nd St, New York, NY 10001; (212) 564-1206
Ara Medical Center; Physical Therapy, Pediatricians; 1.5 star rating; 8 reviews; Koreatown, Midtown West; 12 W 32nd St, New York, NY 10001; (212) 239-0983
Orion Clinic Services; null; 0; 0; Koreatown, Midtown West; 350 5th Ave Ste 3304, New York, NY 10118; (212) 327-1900
Nys Society For Clinic Social Work; null; 0; 0; Koreatown, Midtown West; 350 5th Ave Ste 3304, New York, NY 10118; (212) 971-1348
One Medical Group; Family Practice, Internal Medicine, Urgent Care; 4.0 star rating; 19 reviews; Flatiron; 35 E 21st St, New York, NY 10010; (212) 530-0659
Sidney Hillman Family Practice; Family Practice; 2.5 star rating; 47 reviews; Union Square, Flatiron; 16 E 16th St, New York, NY 10003; (212) 206-5200
Tree of Life Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Sqare E, New York, NY 10003; (212) 533-1192
5 Point Acupuncture; Acupuncture; 5.0 star rating; 5 reviews; Flatiron; 37 W 20th St, New York, NY 10011; (646) 256-1657
City Sports Medicine; Physical Therapy, Sports Medicine; 5.0 star rating; 4 reviews; Flatiron; 28 W 27th St, New York, NY 10001; (212) 684-1500
NYC Free; Medical Centers; 4.5 star rating; 3 reviews; Union Square, Flatiron; 16 E 16th St, New York, NY 10003; 
Pivotal Touch Bodywork; Massage Therapy; 5.0 star rating; 3 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, New York, NY 10003; (646) 346-9442
Avo Samuelian, DDS; General Dentistry; 4.0 star rating; 8 reviews; Flatiron; 5 E 19th St, New York, NY 10003; (212) 253-1850
Romano Dermatology; Dermatologists; 3.5 star rating; 16 reviews; Flatiron; 58 A W 15th St, New York, NY 10011; (212) 242-5815
Schweiger Dermatology; Dermatologists, Skin Care; 4.0 star rating; 7 reviews; Hell's Kitchen, Midtown West; 315 W 57th St, New York, NY 10019; (212) 203-0908
Gramercy Gynecology; Obstetricians & Gynecologists; 2.0 star rating; 68 reviews; Gramercy, Flatiron; 115 E 23rd St, New York, NY 10010; (212) 982-8383
The Relationship Project; Counseling & Mental Health; 5.0 star rating; 3 reviews; Flatiron; 928 Broadway, Manhattan, NY 10010; (917) 446-0016
Clifford S. Melnick, DMD - Fifth Avenue Periodontics; Periodontists, General Dentistry; 4.0 star rating; 8 reviews; Theater District, Hell's Kitchen, Midtown West; 41 West 58th Street, New York, NY 10019; (212) 355-1266
34th Street Chiropractic and Wellness; Chiropractors, Physical Therapy; 3.0 star rating; 6 reviews; Hell's Kitchen, Midtown West; 469 7th Ave, New York, NY 10018; (212) 268-7366
Ryan/Chelsea-Clinton Community Health Center; Medical Centers; 2.0 star rating; 11 reviews; Hell's Kitchen, Midtown West; 645 10th Ave, New York, NY 10036; (212) 265-4500
Robert G. Veligdan, DMD; Cosmetic Dentists, Orthodontists; 5.0 star rating; 5 reviews; Hell's Kitchen, Midtown West; 343 W 58th St, New York, NY 10019; (212) 832-2330
Louis W Catalano III, MD; Orthopedists; 4.5 star rating; 5 reviews; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-7590
Clinilabs; Medical Centers; 2.0 star rating; 5 reviews; Hell's Kitchen, Midtown West; 423 W 55th St, New York, NY 10019; (646) 215-6400
Alton O Barron, MD; Orthopedists; 5.0 star rating; 4 reviews; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-7590
Sleep Disorders Institute; Medical Centers; 2.0 star rating; 15 reviews; Hell's Kitchen, Midtown West; 423 W 55th St, New York, NY 10019; (212) 994-5100
Sujan Patel, MD; Allergists; 5.0 star rating; 1 review; Gramercy, East Village; 310 E 14th St, 6th Fl, New York, NY 10003; (646) 943-7931
Hand Therapy NYC, CHT; Physical Therapy, Occupational Therapy, Rehabilitation Center; 5.0 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, Manhattan, NY 10003; (718) 501-2311
Herrick Lai, DDS; Dentists; 5.0 star rating; 5 reviews; Gramercy; 235 E 22nd St, Manhattan, NY 10010; (212) 679-4925
Beth Israel Medical Center; Medical Centers; 2.0 star rating; 53 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, Manhattan, NY 10003; (212) 420-2000
Alexander Schick,MD; Neurologist; 2.5 star rating; 19 reviews; Gramercy; 247 3rd Ave, New York, NY 10010; (212) 353-0505
Body Align Physical Therapy; Physical Therapy; 5.0 star rating; 13 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, New York, NY 10003; (646) 328-2525
