1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
The Height’s Learning Zone Daycare; Child Care & Day Care, Preschools; 0; 0; Washington Heights; 1649 St. Nicholas Ave, New York, NY 10040; (646) 559-1425 
The International Preschools; Preschools; 0; 0; Upper West Side; 120 W 76th St, New York, NY 10023; (212) 371-8604 
The International Preschools; Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 345 E 86th St, New York, NY 10028; (212) 371-8604 
The International Preschools; Preschools; 5.0 star rating; 2 reviews; Midtown East; 330 E 45th St, New York, NY 10017; (212) 371-8604 
The Katmint Learning Initiative; Child Care & Day Care, Preschools; 0; 0; Bedford Stuyvesant; 545 Quincy St, Brooklyn, NY 11221; (347) 453-6609 
The Kids Korner; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Chelsea; 247 W 24th Street, New York, NY 10011; (212) 229-9340 
The King’s Academy; Preschools, Elementary Schools, Middle Schools & High Schools; 1.0 star rating; 1 review; East Harlem; 2345 3rd Ave, New York, NY 10035; (212) 348-7331 
The Language Workshops For Children; Language Schools, Tutoring Centers, Child Care & Day Care; 4.5 star rating; 5 reviews; Upper East Side; 888 Lexington Avenue, New York, NY 10065; (212) 628-2700 
The Language and Laughter Studio; Language Schools, Summer Camps; 5.0 star rating; 6 reviews; Boerum Hill; 139 Nevins St, Brooklyn, NY 11217; (718) 596-2233 
The Laugh & Learn Place; Preschools; 3.5 star rating; 3 reviews; Laurelton; 228-01 Merrick Blvd, Laurelton, NY 11413; (718) 525-5318 
The Learning Experience; Child Care & Day Care, Preschools; 0; 0; Bayside; 215-15 Northern Blvd, Queens, NY 11361; (718) 224-1760 
The Learning Experience; Child Care & Day Care, Preschools; 0; 0; Financial District; 28 Washington Street, Manhattan, NY 10004; (212) 797-1110 
The Learning Experience; Child Care & Day Care, Preschools; 3.0 star rating; 4 reviews; Gravesend, Bensonhurst; 412 Kings Highway, Brooklyn, NY 11223; (718) 627-7340 
The Learning Playhouse Day Care; Preschools, Child Care & Day Care; 0; 0; Pelham Bay; 2048 St. Paul Ave, Bronx, NY 10461; (347) 446-6959 
The Learning Tree; Child Care & Day Care, Preschools, Elementary Schools; 5.0 star rating; 1 review; Middle Village; 7415 Juniper Blvd N, Middle Village, NY 11379; (718) 899-2020 
The Learning Tree; Child Care & Day Care, Preschools; 4.0 star rating; 1 review; Holliswood; 86-28 Francis Lewis Blvd, Queens Village, NY 11427; (718) 740-2300 
The Manhattan Kid’s Club III; Preschools, Child Care & Day Care; 0; 0; Greenwich Village; 350 Avenue of the Americas, New York, NY 10011; (212) 677-0608 
The Montessori at Flatiron; Preschools; 0; 0; Flatiron; 5 W 22nd St, New York, NY 10010; (212) 633-0600 
The New Life School; Preschools; 0; 0; Melrose; 838 Brook Ave, Bronx, NY 10451; (718) 993-7300 
The New York International School; Elementary Schools, Preschools; 0; 0; Upper East Side; 4 E 90th St, New York, NY 10128; (212) 641-0260 
The Park Pre-School; Elementary Schools, Preschools; 5.0 star rating; 1 review; TriBeCa; 275 Greenwich Street, New York, NY 10007; (212) 571-6191 
The Park Slope Day Camp; Preschools, Summer Camps; 0; 0; Park Slope; 339 8th St, Brooklyn, NY 11215; (718) 768-4426 
The Poppyseed Pre-Nursery; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper West Side; 219 W 81st Street, New York, NY 10024; (212) 724-1690 
The Purple Crayon; Preschools; 5.0 star rating; 2 reviews; Bath Beach, Bensonhurst; 1520 86 St, Bath Beach, NY 11228; (718) 232-1936 
The School Works LAB; Preschools; 0; 0; West Village; 12 1/2 Bedford St, New York, NY 10014; (212) 768-7800 
The Studio School; Elementary Schools, Middle Schools & High Schools; 5.0 star rating; 8 reviews; Upper West Side; 117 W 95th St, New York, NY 10025; (212) 678-2416 
The Susan Patricof Head Start Center; Preschools; 5.0 star rating; 1 review; East Harlem; 302-306 East 111th Street, New York, NY 10029; (646) 351-1300 
The Tanglewood School; Elementary Schools, Child Care & Day Care, Preschools, Middle Schools & High Schools; 0; 0; Great Kills; 15 Tanglewood Drive, Staten Island, NY 10308; (718) 967-2424 
The William Woodward Jr Nursery School; Child Care & Day Care, Preschools; 0; 0; Upper East Side; 435 East 70 St, New York, NY 10021; (212) 744-6611 
The Wonder Years Preschool; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; Midland Beach; 389 Seaver Avenue, Staten Island, NY 10305; (718) 987-7596 
Therapy Playhouse SLP; Educational Services, Counseling & Mental Health; 0; 0; Lighthouse Hill; 99 Summit Ave, Staten Island, NY 10306; (718) 979-5678 
Thinkertots; Preschools; 5.0 star rating; 4 reviews; Oakland Gardens; 22214 Union Tpke, New York, NY 11364; (718) 740-1616 
Third Street Music School Settlement; Performing Arts, Art Schools, Preschools; 4.5 star rating; 4 reviews; East Village; 235 E 11th Street, New York, NY 10003; (212) 777-3240 
Tiabris Harvest Preschool; Elementary Schools, Preschools; 0; 0; West Brighton; 549 Bard Ave, Staten Island, NY 10310; (718) 524-0690 
Tinkergarten; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; Park Slope, South Slope; 123 Seventh Ave, Brooklyn, NY 11215; (805) 751-8465 
Tiny Bear’s House; Preschools; 5.0 star rating; 3 reviews; Briarwood; 141-33 84th Dr, Briarwood, NY 11435; (646) 644-2508 
Tiny Footsteps Child Learning Center; Preschools; 4.0 star rating; 3 reviews; Flushing, Hillcrest; 16701 Union Tpke, Fresh Meadows, NY 11366; (718) 969-5500 
Tiny Tot Playhouse; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Fort Hamilton, Bay Ridge; 243 88th St, Brooklyn, NY 11209; (718) 745-4509 
Tiny Tots Express Preschool; Child Care & Day Care; 0; 0; Marine Park; 3321 Avenue N, Brooklyn, NY 11234; (718) 338-9561 
Tlc Early Childhood Program; Elementary Schools, Child Care & Day Care, Preschools, Middle Schools & High Schools; 0; 0; South Slope; 1723 8th Ave, Brooklyn, NY 11215; (718) 369-7993 
Toadlers Pond Daycare; Child Care & Day Care; 5.0 star rating; 11 reviews; Forest Hills; 105-47 63rd Dr, Forest Hills, NY 11375; (718) 406-9261 
Tofom; Preschools; 1.0 star rating; 1 review; Sheepshead Bay, Brighton Beach; 2653 E 13th St, Brooklyn, NY 11235; (646) 752-2858 
Tomer Dvorah Dskwere Pre School; Elementary Schools, Preschools; 0; 0; Borough Park; 4622 14th Avenue, Brooklyn, NY 11219; (718) 871-0859 
Tots & Beyond Early Learning Daycare Center; Preschools, Child Care & Day Care; 0; 0; Jamaica; 10612 Waltham St, Jamaica, NY 11435; (718) 297-3372 
Town House International School; Preschools; 2.0 star rating; 1 review; Upper East Side; 1209 Park Ave, New York, NY 10128; (212) 427-6930 
Treasure Island; Child Care & Day Care, Preschools; 0; 0; Bay Ridge; 347  74th St, Brooklyn, NY 11209; (718) 238-7676 
Tribeca Community School; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; TriBeCa; 22 Ericsson Pl, New York, NY 10013; (212) 226-9070 
Trilok School; Preschools, Elementary Schools; 4.0 star rating; 5 reviews; Clinton Hill; 143 Waverly Ave, Brooklyn, NY 11205; (718) 576-2563 
Trinity Preschool; Preschools; 0; 0; TriBeCa, Financial District; 50 Park Pl, New York, NY 10007; (212) 602-0829 
Tutor Time Child Care   Learning Centers; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Edgewater Park; 4022 E Tremont Avenue, Bronx, NY 10465; (718) 239-5274 
Tutor Time; Child Care & Day Care, Preschools, Elementary Schools; 3.0 star rating; 1 review; College Point; 25-56 Ulmer St, College Point, NY 11354; (718) 661-4700 
Tutor Time; Child Care & Day Care, Preschools, Elementary Schools; 3.5 star rating; 3 reviews; Midtown East, Murray Hill; 225 East 38th Street, Manhattan, NY 10016; (855) 210-7495 
Tutor Time; Child Care & Day Care, Preschools, Elementary Schools; 4.0 star rating; 4 reviews; Bay Ridge; 7817 Third Avenue 2nd Floor, Brooklyn, NY 11209; (855) 210-7495 
Tutor Time; Child Care & Day Care, Preschools; 0; 0; Oakland Gardens; 6158 Springfield Blvd, Bayside, NY 11364; (855) 210-7495 
Twin Parks Child Care Center; Child Care & Day Care; 5.0 star rating; 1 review; East Tremont; 2070 Mapes Ave, Bronx, NY 10460; (718) 733-7778 
Two By Two Childcare; Preschools, Child Care & Day Care, Nanny Services; 5.0 star rating; 4 reviews; Williamsburg - South Side; 418 Keap St, Brooklyn, NY 11211; (718) 388-5600 
Union Temple Pre-School; Preschools; 0; 0; Prospect Heights; 17 Eastern Pkwy, Brooklyn, NY 11238; (718) 623-1322 
Universal Kidz Day Care; Preschools; 0; 0; Claremont Village; 172nd St, Bronx, NY 10460; (347) 758-7080 
University Plaza Nursery School; Preschools; 0; 0; Greenwich Village; 110 Bleecker St, New York, NY 10012; (212) 677-3916 
Upper Valley Preschool; Preschools; 4.5 star rating; 6 reviews; Upper West Side; 103 W 96th St Columbus Ave, New York, NY 10025; (212) 257-4749 
Upper West Side Playgroup; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; Upper West Side; 205 W 88th St, Manhattan, NY 10024; (917) 603-1606 
Uptown Harlem Gems; Preschools; 4.0 star rating; 1 review; Harlem; 381 Lenox Ave, New York, NY 10027; (646) 539-5898 
Verny Daycare Inc; Preschools, Child Care & Day Care; 5.0 star rating; 3 reviews; Bedford Stuyvesant; 992 Greene Ave, Brooklyn, NY 11221; (718) 398-8057 
Victoria’s Children Group Inc; Preschools; 3.0 star rating; 3 reviews; Lower East Side; 323 Grand St, New York, NY 10002; (212) 625-1828 
Village Kids Nursery School; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Chelsea, West Village; 244 W 14th St, New York, NY 10011; (212) 337-2587 
Village Preschool Center; Preschools; 0; 0; West Village; 136 W 10th St, New York, NY 10014; (212) 645-1238 
Village Preschool; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Great Kills; 76 Saint Albans Place, Staten Island, NY 10312; (718) 967-5809 
WEBS Movement Education; Preschools; 0; 0; Midtown East, Murray Hill; 220 E 42nd St, Manhattan, NY 10017; (212) 203-3643 
Wagner Susan E Day Care Cntr; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Edenwald; 1140 E 229th St, Bronx, NY 10466; (718) 547-1735 
Wee Care; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Yorkville, Upper East Side; 451 E 83rd St, New York, NY 10028; (212) 472-4481 
West Eighty Third Street Pre-School of St Matthew & St Timothy; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; Upper West Side; 128 W 83rd Street, New York, NY 10024; (212) 877-7780 
West End Collegiate Church; Churches, Preschools; 5.0 star rating; 1 review; Upper West Side; 368 W End Ave, New York, NY 10024; (212) 787-1566 
West Harlem EarlyLearn NYC Preschool & Family Child Care Network; Preschools; 0; 0; Harlem; 121 W 128th St, Manhattan, NY 10027; (212) 665-7586 
West Side Cooperative Preschool; Preschools; 5.0 star rating; 2 reviews; Manhattan Valley; 165 W 105th St, New York, NY 10025; (212) 749-4635 
West Village Nursry Schl; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; West Village; 73 Horatio Street, New York, NY 10014; (212) 243-5986 
Westside Family Preschool; Elementary Schools, Preschools; 0; 0; Upper West Side; 63 W 92nd Street Bsmt, New York, NY 10025; (212) 316-2424 
White School For Child Development; Specialty Schools, Preschools, Elementary Schools, Middle Schools & High Schools; 0; 0; Malba; 1445 143rd Street, Whitestone, NY 11357; (718) 746-6555 
Who’s On First? Children’s Enrichment Studio; Preschools, Arts & Entertainment; 5.0 star rating; 2 reviews; Carroll Gardens; 46 1st Pl, Brooklyn, NY 11231; (718) 243-1432 
Wiggles Daycare; Preschools, Child Care & Day Care; 0; 0; Washington Heights; 170 St and Fort Washington Ave, Manhattan, NY 10032; (917) 569-5674 
Williamsburg Montessori; Preschools, Child Care & Day Care; 0; 0; South Williamsburg; 450 Kent Ave, Brooklyn, NY 11211; (347) 450-3095 
Williamsburg Northside Lower School; Elementary Schools; 5.0 star rating; 1 review; Williamsburg - North Side; 299 N 7th St, New York, NY 11211; (718) 599-9600 
Williamsburg Northside Preschool; Elementary Schools, Preschools; 4.5 star rating; 3 reviews; Williamsburg - North Side; 152 N 5th St, Brooklyn, NY 11211; (718) 599-7300 
Williamsburg Northside School; Preschools; 0; 0; Williamsburg - North Side; 70 Havemeyer St, Williamsburg, NY 11211; (718) 313-0052 
Wonderland Pre-School Academy; Preschools, Child Care & Day Care; 2.5 star rating; 2 reviews; Sheepshead Bay, Brighton Beach; 1018 Ave Y, Brooklyn, NY 11235; (718) 332-0500 
World Class Learning Academy; Preschools, Elementary Schools; 0; 0; East Village; 44 E 2nd St, Manhattan, NY 10003; (212) 600-2010 
World of Wonders Early Childcare Center; Child Care & Day Care, Education; 0; 0; Bensonhurst; 7219 New Utrecht Ave, Brooklyn, NY 11228; (718) 621-4216 
Xiao Long Center; Language Schools; 5.0 star rating; 1 review; Boerum Hill; 310 Atlantic Avenue, Brooklyn, NY 11201;  
YMCA of Greater NY; Preschools, Art Schools; 0; 0; Upper West Side; 5 W 63rd St, New York, NY 10023; (212) 875-4117 
Yai Nyl Forest Hills West Preschool; Child Care & Day Care; 0; 0; Middle Village; 6325 Dry Harbor Road, Middle Village, NY 11379; (718) 639-9750 
Yearling Nursery School; Child Care & Day Care; 4.0 star rating; 4 reviews; Spuyten Duyvil; 604 W 227th St, Bronx, NY 10463; (718) 549-1606 
Yeled Vyalda Early Childhood; Elementary Schools, Preschools; 0; 0; Rosebank; 20 Park Hill Cir, Staten Island, NY 10304; (718) 720-0090 
Yeshiva Ohel Sarah; Elementary Schools, Preschools; 0; 0; Midwood; 2221 Avenue R, New York, NY 11229; (718) 513-1931 
Yeshiva Sharei Torah Toddler Program; Elementary Schools, Preschools; 0; 0; Midwood, Ocean Parkway; 1020 Ocean Parkway, Brooklyn, NY 11230; (718) 677-8100 
York Avenue Preschool; Child Care & Day Care, Elementary Schools, Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 1520 York Avenue, New York, NY 10028; (212) 734-0922 
Young Unlimited Child Care; Child Care & Day Care, Preschools; 0; 0; Harlem; 449 W 153rd St, Manhattan, NY 10031; (646) 667-6804 
Zion Lutheran Church; Elementary Schools, Preschools; 0; 0; Westerleigh; 505 Watchogue Road, Staten Island, NY 10314; (718) 981-3151 
Zusin Family Daycare; Child Care & Day Care; 5.0 star rating; 2 reviews; Park Slope, Gowanus; 323 3rd St, New York, NY 11215; (347) 599-1740 
apple seeds; Preschools; 4.0 star rating; 10 reviews; Flatiron; 10 West 25th Street, New York, NY 10010; (212) 792-7590 
apple seeds; Preschools; 5.0 star rating; 5 reviews; Upper West Side; 200 W End Ave, New York, NY 10023; (212) 792-7591 
kids R It; Preschools, Child Care & Day Care; 0; 0; East Elmhurst; 87-02 23rd Ave, EAST ELMHURST, NY 11369; (718) 429-2218 
